id,material,density_kg_m3,volume_fraction,category,C_MPa,S_MPa,T_MPa,notes
minecraft:acacia_button,wood,7.7,1,wood,0.3500995381039707367781035785,0.2500710986456933834129311275,0.1500426591874160300477586765,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_door,wood,144.4,1,wood,6.562650165243059301173863157,4.687607260887899500838473684,2.812564356532739700503084210,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_fence,wood,192.5,1,wood,8.749546439674024967883025566,6.249816124192172284276902257,3.750085808710319600670778947,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_fence_gate,wood,192.5,1,wood,8.749546439674024967883025566,6.249816124192172284276902257,3.750085808710319600670778947,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_hanging_sign,wood,23.1,1,wood,1.050298614311912210334310735,0.7502132959370801502387933824,0.4501279775622480901432760295,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_leaves,plant,80.0,1,plant,0.1000284394582773533651724510,0.05001421972913867668258622550,0.05001421972913867668258622550,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_log,wood_log,800.0,1,wood_log,35.00014710064626217257847819,29.99970579870747565484304361,19.99980386580498376989536241,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_planks,wood,770.0,1,wood,35.00014710064626217257847819,25.00024516774377028763079699,15.00034323484127840268311579,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_pressure_plate,wood,42.4,1,wood,1.925057124084298477017975699,1.374900707063773033509527219,0.8247442900432475900010787381,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_sapling,plant,1.0,1,plant,0,0,0,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_shelf,wood,308.0,1,wood,14.00005884025850486903139128,9.999901932902491884947681203,5.999745025546478900863971129,Imported effective values; preserve until issue 1B retuning
minecraft:acacia_sign,wood,38.5,1,wood,1.749517019544772533367329927,1.250355493228466917064655637,0.7502132959370801502387933824,Imported effective values; preserve until issue 1B retuning
